Wall time,Step,Value
1546147523,2113,601
1546147565,2117,101
1546147628,2124,256
1546147629,2125,396
1546147751,2143,131
1546147795,2146,121
1546147796,2147,71
1546147840,2151,86
1546147865,2153,296
1546147920,2158,236
1546147975,2167,386
1546147990,2171,171
1546148002,2173,271
1546148029,2175,196
1546148050,2179,351
1546148119,2189,501
1546148146,2191,506
1546148177,2193,116
1546148178,2194,181
1546148187,2198,56
1546148231,2201,81
1546148319,2209,61
1546148343,2213,276
1546148453,2227,216
1546148480,2231,56
1546148488,2233,66
1546148539,2238,231
1546148546,2239,411
1546148562,2241,466
1546148602,2244,271
1546148630,2246,146
1546148639,2248,286
1546148646,2249,221
1546148704,2256,176
1546148712,2259,151
1546148774,2264,196
1546148928,2283,276
1546149040,2293,266
1546149087,2299,126
1546149110,2305,291
1546149165,2309,71
1546149172,2310,601
1546149269,2321,271
1546149269,2322,351
1546149271,2324,386
1546149416,2337,466
1546149482,2347,96
1546149542,2356,246
1546149653,2373,96
1546149820,2391,51
1546149822,2392,206
1546149826,2394,141
1546149872,2402,171
1546149889,2404,346
1546149926,2408,61
1546150020,2418,196
1546150087,2426,116
1546150090,2427,151
1546150201,2438,156
1546150274,2446,211
1546150294,2452,216
1546150297,2453,321
1546150314,2455,71
1546150334,2457,526
1546150417,2462,236
1546150625,2487,221
1546150628,2488,306
1546150755,2498,601
1546150779,2500,246
1546150808,2504,596
1546150816,2505,166
1546150936,2519,231
1546150973,2525,266
1546151024,2530,271
1546151043,2532,471
1546151060,2534,66
1546151086,2536,276
1546151239,2549,341
1546151300,2553,116
1546151311,2555,226
1546151324,2558,131
1546151366,2567,506
1546151373,2568,276
1546151440,2578,101
1546151455,2580,201
1546151569,2592,431
1546151583,2593,181
1546151586,2594,301
1546151617,2598,176
1546151639,2602,406
1546151700,2608,141
1546151824,2625,346
1546151854,2631,136
1546151885,2632,161
1546151990,2640,66
1546152082,2646,126
1546152122,2652,401
1546152155,2657,156
1546152298,2676,411
1546152339,2680,196
1546152351,2682,216
1546152420,2687,146
1546152480,2692,301
1546152620,2705,131
1546152683,2712,291
1546152844,2727,251
1546152963,2739,406
1546152991,2742,276
1546153055,2748,151
1546153193,2756,571
1546153216,2757,106
1546153225,2758,121
1546153242,2759,56
1546153303,2768,216
1546153531,2791,596
1546153540,2792,366
1546153558,2793,141
1546153643,2800,311
1546153736,2811,56
1546153752,2813,586
1546153903,2825,421
1546153929,2826,466
1546153983,2829,296
1546153994,2831,601
1546154019,2832,496
1546154042,2834,601
1546154244,2853,196
1546154294,2861,486
1546154380,2873,326
1546154385,2874,191
1546154481,2882,601
1546154486,2883,176
1546154562,2889,381
1546154581,2892,146
1546154649,2898,601
1546154656,2900,286
1546154696,2902,146
1546154884,2919,116
1546154907,2921,376
1546154936,2922,131
1546154955,2923,231
1546155035,2934,601
1546155205,2952,431
1546155412,2969,211
1546155467,2976,601
1546155472,2977,401
1546155517,2980,601
1546155725,2996,211
1546155766,3000,301
1546155804,3005,556
1546155814,3007,131
1546155842,3009,551
1546155853,3011,311
1546155893,3013,111
1546155936,3017,101
1546155938,3018,406
1546156093,3029,361
1546156130,3032,181
1546156208,3040,366
1546156251,3043,601
1546156258,3044,196
1546156412,3052,71
1546156630,3067,571
1546156644,3069,316
1546156661,3071,601
1546156676,3073,576
1546156811,3084,291
1546156851,3088,446
1546157012,3101,406
1546157301,3124,221
1546157482,3139,401
1546157492,3140,141
1546157559,3146,601
1546157566,3147,216
1546157588,3149,521
1546157613,3152,181
1546157645,3157,301
1546157739,3161,536
1546157747,3163,111
1546157932,3179,281
1546158092,3190,216
1546158194,3197,486
1546158208,3198,601
1546158224,3205,296
1546158240,3208,436
1546158571,3232,306
1546158598,3235,386
1546158673,3242,281
1546158685,3245,201
1546158686,3246,561
1546158707,3248,381
1546158751,3249,71
1546159058,3269,521
1546159101,3274,436
1546159191,3283,516
1546159198,3285,236
1546159207,3287,326
1546159274,3294,96
1546159484,3307,161
1546159505,3309,456
1546159605,3315,156
1546159665,3323,501
1546159751,3329,481
1546159757,3330,236
1546159819,3335,586
1546159844,3340,396
1546159949,3347,436
1546160135,3359,391
1546160202,3363,216
1546160407,3376,451
1546160421,3378,601
1546160442,3380,381
1546160468,3383,416
1546160545,3388,296
1546160818,3405,196
1546160863,3410,601
1546161018,3428,271
1546161139,3432,476
1546161189,3435,416
1546161269,3440,216
1546161335,3447,521
1546161363,3451,236
1546161383,3453,501
1546161488,3459,296
1546161496,3460,71
1546161621,3466,386
1546161688,3473,526
1546161775,3479,601
1546161805,3482,596
1546161889,3488,166
1546162044,3499,496
1546162072,3501,186
1546162217,3511,601
1546162233,3514,206
1546162256,3516,216
1546162281,3521,466
1546162529,3537,471
1546162545,3539,166
1546162663,3545,211
1546162714,3549,436
1546162749,3551,451
1546162924,3565,601
1546163096,3577,231
1546163121,3582,151
1546163254,3594,371
