Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
0,1,1,0.020786997,0.101130031,0.098869969,0.0209,0,0
1,1,1,0.020951791,0.102482093,0.097517907,0.0212,0,0
2,1,1,0.021135392,0.103646083,0.096353917,0.0215,0,0
3,1,1,0.021310823,0.10489177,0.09510823,0.0218,0,0
4,1,1,0.021485817,0.106141833,0.093858167,0.0221,0,0
5,1,1,0.021684015,0.107159848,0.092840152,0.0224,0,0
6,1,1,0.021857096,0.108429041,0.091570959,0.0227,0,0
7,1,1,0.022085954,0.109140465,0.090859535,0.023,0,0
8,1,1,0.022288121,0.110118787,0.089881213,0.0233,0,0
9,1,1,0.022521725,0.110782751,0.089217249,0.0236,0,0
10,1,1,0.022754168,0.111458319,0.088541681,0.0239,0,0
11,1,1,0.022989944,0.112100564,0.087899436,0.0242,0,0
12,1,1,0.02325356,0.112464399,0.087535601,0.0245,0,0
13,1,1,0.023489757,0.113102435,0.086897565,0.0248,0,0
14,1,1,0.023776,0.113239996,0.086760004,0.0251,0,0
15,1,1,0.024034843,0.113651572,0.086348428,0.0254,0,0
16,1,2,0.024318246,0.113817538,0.086182462,0.0257,0,0
17,1,2,0.024595343,0.114046574,0.085953426,0.026,0,0
18,1,2,0.024821661,0.114783386,0.085216614,0.0263,0,0
19,1,2,0.024991702,0.116082977,0.083917023,0.0266,0,0
20,1,2,0.025164198,0.117358019,0.082641981,0.0269,0,0
21,1,1,0.025265943,0.119340567,0.080659433,0.0272,0,0
22,1,1,0.025391508,0.121084921,0.078915079,0.0275,0,0
23,1,1,0.025584295,0.122157046,0.077842954,0.0278,0,0
24,1,1,0.025799513,0.123004871,0.076995129,0.0281,0,0
25,1,1,0.026031047,0.123689529,0.076310471,0.0284,0,0
26,1,1,0.026294334,0.124056661,0.075943339,0.0287,0,0
27,1,1,0.02653737,0.124626301,0.075373699,0.029,0,0
28,1,1,0.026837984,0.124620159,0.075379841,0.0293,0,0
29,1,1,0.027111264,0.124887361,0.075112639,0.0296,0,0
30,1,1,0.027417239,0.124827612,0.075172388,0.0299,0,0
31,1,1,0.027721146,0.124788539,0.075211461,0.0302,0,0
32,1,1,0.028029714,0.124702862,0.075297138,0.0305,0,0
33,1,1,0.028366439,0.12433561,0.07566439,0.0308,0,0
34,1,1,0.028675448,0.124245519,0.075754481,0.0311,0,0
35,1,1,0.029047899,0.123521011,0.076478989,0.0314,0,0
36,1,1,0.029388493,0.123115071,0.076884929,0.0317,0,0
37,1,1,0.029765395,0.122346046,0.077653954,0.032,0,0
38,1,1,0.03013983,0.1216017,0.0783983,0.0323,0,0
39,1,1,0.030518776,0.120812242,0.079187758,0.0326,0,0
40,1,1,0.030929765,0.119702353,0.080297647,0.0329,0,0
41,1,1,0.031308666,0.118913341,0.081086659,0.0332,0,0
42,1,1,0.031758782,0.117412185,0.082587815,0.0335,0,0
43,1,1,0.032172821,0.116271785,0.083728215,0.0338,0,0
44,1,1,0.032617465,0.114825353,0.085174647,0.0341,0,0
45,1,1,0.033057306,0.11342694,0.08657306,0.0344,0,0
46,1,2,0.03349451,0.112054902,0.087945098,0.0347,0,0
47,1,2,0.033953588,0.110464115,0.089535885,0.035,0,0
48,1,2,0.034377672,0.109223282,0.090776718,0.0353,0,0
49,1,2,0.034699816,0.109001837,0.090998163,0.0356,0,0
50,1,2,0.03502243,0.108775699,0.091224301,0.0359,0,0
51,1,1,0.035285294,0.109147059,0.090852941,0.0362,0,0
52,1,1,0.035538975,0.109610249,0.090389751,0.0365,0,0
53,1,1,0.035844799,0.109552009,0.090447991,0.0368,0,0
54,1,1,0.036214072,0.108859277,0.091140723,0.0371,0,0
55,1,1,0.03656977,0.108302296,0.091697704,0.0374,0,0
56,1,1,0.036993269,0.107067311,0.092932689,0.0377,0,0
57,1,1,0.037388362,0.10611638,0.09388362,0.038,0,0
58,1,1,0.037817609,0.104823914,0.095176086,0.0383,0,0
59,1,1,0.038288567,0.103114328,0.096885672,0.0386,0,0
60,1,1,0.038792871,0.101071291,0.098928709,0.0389,0,0
61,1,2,0.039323654,0.09876346,0.10123654,0.0392,0,0
62,1,2,0.039878577,0.09621423,0.10378577,0.0395,0,0
63,1,2,0.04028111,0.095188905,0.104811095,0.0398,0,0
64,1,2,0.040585663,0.095143368,0.104856632,0.0401,0,0
65,1,2,0.040820979,0.095790214,0.104209786,0.0404,0,0
66,1,1,0.04105239,0.096476101,0.103523899,0.0407,0,0
67,1,1,0.041344434,0.09655566,0.10344434,0.041,0,0
68,1,1,0.041706286,0.095937136,0.104062864,0.0413,0,0
69,1,1,0.042057149,0.095428509,0.104571491,0.0416,0,0
70,1,1,0.042490855,0.094091451,0.105908549,0.0419,0,0
71,1,2,0.04297284,0.092271596,0.107728404,0.0422,0,0
72,1,2,0.043351412,0.091485882,0.108514118,0.0425,0,0
73,1,2,0.043620802,0.091791975,0.108208025,0.0428,0,0
74,1,2,0.043813229,0.092867714,0.107132286,0.0431,0,0
75,1,2,0.04396807,0.094319297,0.105680703,0.0434,0,0
76,1,0,0.044154048,0.09545952,0.10454048,0.0437,0,0
77,1,0,0.044265606,0.097343945,0.102656055,0.044,4.5,0
78,1,0,0.044413313,0.098866867,0.101133133,0.0443,9,0
79,1,0,0.044585377,0.10014623,0.09985377,0.0446,13.5,0
