Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
83,1,1,0.039119557,0.090471101,0.109528899,0.038166667,0,0
84,1,1,0.039464206,0.089024612,0.110975388,0.038366667,0,0
85,1,1,0.039816998,0.087496687,0.112503313,0.038566667,0,0
86,1,0,0.040199291,0.085673757,0.114326243,0.038766667,0,0
87,1,0,0.040550008,0.084166583,0.115833417,0.038966667,0,0
88,1,0,0.040874023,0.082926437,0.117073563,0.039166667,0,0
89,1,0,0.041179538,0.081871289,0.118128711,0.039366667,0,0
90,1,0,0.04147321,0.080934568,0.119065432,0.039566667,0,0
91,1,0,0.041756466,0.080102006,0.119897994,0.039766667,0,0
92,1,0,0.04203321,0.079334563,0.120665437,0.039966667,0,0
93,1,0,0.042303614,0.078630523,0.121369477,0.040166667,0,0
94,1,0,0.04256814,0.077985269,0.122014731,0.040366667,0,0
95,1,0,0.042828113,0.077385538,0.122614462,0.040566667,0,0
96,1,0,0.043081764,0.076849025,0.123150975,0.040766667,0,0
97,1,0,0.043331157,0.076355093,0.123644907,0.040966667,0,0
98,1,0,0.043575481,0.075911861,0.124088139,0.041166667,0,0
99,1,0,0.043814756,0.075519107,0.124480893,0.041366667,0,0
100,1,0,0.04405012,0.075165468,0.124834532,0.041566667,0,0
101,1,0,0.04427959,0.074870764,0.125129236,0.041766667,4.5,0
102,1,0,0.044505261,0.074614058,0.125385942,0.041966667,9,0
103,1,0,0.044726294,0.074403731,0.125596269,0.042166667,13.5,0
104,1,0,0.044942588,0.074240791,0.125759209,0.042366667,18,0
105,1,0,0.045155331,0.074113352,0.125886648,0.042566667,22.5,0
106,1,1,0.045362532,0.074041345,0.125958655,0.042766667,27,0
107,1,1,0.045652449,0.073142175,0.126857825,0.042966667,31.5,0
108,1,1,0.046003513,0.071631536,0.128368464,0.043166667,36,0
109,1,1,0.046399191,0.069674756,0.130325244,0.043366667,40.5,0
110,1,1,0.04682982,0.06736847,0.13263153,0.043566667,45,0
111,1,1,0.04728682,0.06479847,0.13520153,0.043766667,49.5,0
112,1,1,0.047768686,0.061979807,0.138020193,0.043966667,54,0
113,1,1,0.048238713,0.059279534,0.140720466,0.044166667,58.5,0
114,1,1,0.048743784,0.056228822,0.143771178,0.044366667,63,0
115,1,1,0.049241818,0.053248482,0.146751518,0.044566667,67.5,0
116,1,0,0.049758103,0.050085639,0.149914361,0.044766667,72,0
117,1,0,0.050268844,0.046978229,0.153021771,0.044966667,76.5,0
118,1,0,0.050721742,0.044449245,0.155550755,0.045166667,81,0
119,1,0,0.051134836,0.042318307,0.157681693,0.045366667,85.5,0
120,1,0,0.051522568,0.040440988,0.159559012,0.045566667,90,0
121,1,0,0.051891059,0.03875608,0.16124392,0.045766667,94.5,0
122,1,0,0.052247357,0.0371931,0.1628069,0.045966667,99,0
123,1,0,0.052593071,0.035735957,0.164264043,0.046166667,103.5,0
124,1,0,0.052929603,0.034370641,0.165629359,0.046366667,108,0
125,1,0,0.053258959,0.033077075,0.166922925,0.046566667,112.5,0
126,1,0,0.05357917,0.031874964,0.168125036,0.046766667,117,0
127,1,0,0.053892929,0.030737376,0.169262624,0.046966667,121.5,0
128,1,0,0.054199398,0.029672691,0.170327309,0.047166667,126,0
