Wall time,Step,Value
1546135584.882635,7,0.33411142230033875
1546135621.0997975,20,0.33709147572517395
1546135631.0561764,26,0.33786720037460327
1546135688.9633448,42,0.34732943773269653
1546135692.7302723,44,0.3475170433521271
1546135696.4503279,47,0.34699249267578125
1546135729.6685085,55,0.348225474357605
1546135741.2076545,58,0.3441242277622223
1546135786.9653084,73,0.3461700975894928
1546135791.0523803,76,0.345003217458725
1546135835.271147,97,0.34407737851142883
1546135857.4737833,104,0.3441360890865326
1546135896.1074843,108,0.3387589752674103
1546135978.8771734,128,0.3378726840019226
1546136030.918028,141,0.3375566005706787
1546136056.1705072,152,0.3372683823108673
1546136076.4083982,157,0.33795174956321716
1546136082.9209821,160,0.33852073550224304
1546136119.6657348,169,0.33968600630760193
1546136151.8905716,182,0.34131574630737305
1546136164.892807,185,0.3427383601665497
1546136181.1503391,187,0.34398168325424194
1546136182.0080435,188,0.34314605593681335
1546136203.984283,192,0.345414400100708
1546136227.4884405,200,0.34539714455604553
1546136257.0184808,209,0.34655314683914185
1546136264.445625,214,0.3449431359767914
1546136314.2604294,225,0.34766972064971924
1546136328.5163093,231,0.3484240770339966
1546136355.2608006,236,0.350985050201416
1546136401.0882673,251,0.34947237372398376
1546136435.0844178,257,0.3536951243877411
1546136447.407469,262,0.35391029715538025
1546136469.7826414,269,0.3475485146045685
1546136476.113715,273,0.3534312844276428
1546136484.3506906,275,0.35558831691741943
1546136570.388642,294,0.35796189308166504
1546136589.1704223,299,0.35932832956314087
1546136616.1881828,305,0.3590455949306488
1546136633.4111729,310,0.3596861958503723
1546136640.8931677,312,0.3597571551799774
1546136667.5090017,320,0.35308244824409485
1546136704.642714,332,0.3603602945804596
1546136740.7212477,341,0.36376962065696716
1546136763.8125064,349,0.3615078628063202
1546136826.5168476,365,0.3702848553657532
1546136829.50785,369,0.3672583997249603
1546136861.603034,379,0.37312808632850647
1546137101.656286,423,0.38652503490448
1546137101.9475083,424,0.379422664642334
1546137182.687625,441,0.3951738476753235
1546137186.4216402,443,0.3853507339954376
1546137195.3487735,444,0.3913959562778473
1546137205.4118638,447,0.3946399688720703
1546137232.5293598,453,0.3898830711841583
1546137287.541267,462,0.40545785427093506
1546137302.8413575,465,0.3924274444580078
1546137305.1202664,466,0.3906116485595703
1546137333.56421,476,0.40534037351608276
1546137407.831635,493,0.42285826802253723
1546137414.6384354,495,0.42505279183387756
1546137498.8582473,514,0.4399874210357666
1546137516.4053333,516,0.4341706335544586
1546137539.2064245,519,0.4190373420715332
1546137615.028691,527,0.4521746039390564
1546137657.7315123,533,0.45491018891334534
1546137669.7773025,535,0.45593714714050293
1546137691.243907,538,0.45268821716308594
1546137725.0416265,544,0.45771363377571106
1546137752.018498,549,0.4569433033466339
1546137798.7116468,559,0.46774280071258545
1546137861.8428478,566,0.4651784896850586
1546137890.89417,571,0.470679372549057
1546137903.1424239,575,0.471039742231369
1546137921.8793247,581,0.46868374943733215
1546137931.3460135,583,0.472872793674469
1546137939.3685617,586,0.47460901737213135
1546137946.5413814,588,0.4756748378276825
1546137957.4591892,589,0.47087979316711426
1546137977.1784668,595,0.4717767536640167
1546138042.4050632,604,0.47108373045921326
1546138138.0088425,622,0.4816736578941345
1546138139.4100947,624,0.4850735366344452
1546138215.0473356,636,0.48918914794921875
1546138258.6223452,643,0.48920127749443054
1546138259.0796356,644,0.49031639099121094
1546138262.6539986,646,0.4817706346511841
1546138267.8276916,649,0.4860329329967499
1546138273.0784829,651,0.4873736798763275
1546138349.4170525,663,0.4848693311214447
1546138367.684785,666,0.48840808868408203
1546138381.117875,670,0.49195587635040283
1546138390.4087625,673,0.4848397970199585
1546138414.3808255,676,0.4944086968898773
1546138429.696882,680,0.4849701225757599
1546138431.0193439,681,0.48113590478897095
1546138450.1822565,685,0.48740044236183167
1546138493.4333203,690,0.4867907762527466
1546138610.788469,716,0.4827795922756195
1546138638.0211542,720,0.4853147864341736
1546138652.2670817,724,0.48575559258461
1546138652.6712413,725,0.4890444874763489
1546138681.2875323,732,0.4874955415725708
1546138737.3202982,741,0.4826423227787018
1546138785.8451502,745,0.4699721038341522
1546138801.5909183,749,0.4727165997028351
1546138823.7501125,754,0.4714846909046173
1546138833.3542292,758,0.4675091803073883
1546138863.6055694,767,0.4782679080963135
1546138884.7062483,771,0.4917657673358917
1546138885.4205592,772,0.47975432872772217
1546138890.1600835,773,0.48526033759117126
1546138896.389995,775,0.4688654839992523
1546138900.854164,776,0.47881028056144714
1546138939.95925,782,0.4780852198600769
1546138955.6574154,787,0.4641190767288208
1546138973.4310665,789,0.4667796492576599
1546138994.8400483,794,0.4667220711708069
1546139004.7061002,795,0.462344765663147
1546139005.7011278,796,0.4689834713935852
1546139031.123313,800,0.46461379528045654
1546139095.5232732,804,0.4695999324321747
1546139116.514063,809,0.47170403599739075
1546139117.8265705,810,0.4627538025379181
1546139119.4972963,811,0.4776192605495453
1546139202.9848511,834,0.46472644805908203
1546139219.441243,838,0.46172136068344116
1546139245.984666,845,0.46197739243507385
1546139409.1888678,871,0.45469409227371216
1546139432.0104175,876,0.45084884762763977
1546139447.714751,878,0.45399394631385803
1546139485.9664083,884,0.46165385842323303
1546139543.2795746,892,0.4443359076976776
1546139583.7615237,898,0.4490249454975128
1546139618.7937706,902,0.44214311242103577
1546139676.247369,909,0.4423017203807831
1546139683.3850062,911,0.4553360939025879
1546139712.056926,917,0.4392561912536621
1546139723.616828,919,0.4471343755722046
1546139811.1269557,933,0.4541221857070923
1546139824.8977566,934,0.4600156843662262
1546139859.9217393,944,0.44452807307243347
1546139869.2179523,947,0.443412184715271
1546139910.9624312,956,0.4469343423843384
1546139937.943149,960,0.44439437985420227
1546139966.8059971,963,0.44532373547554016
1546139972.738898,964,0.4450257122516632
1546140017.6660979,973,0.45222559571266174
1546140033.5319862,974,0.4515514671802521
1546140065.0027194,980,0.4560268521308899
1546140068.2826965,981,0.45615753531455994
1546140105.3578823,986,0.4505801200866699
1546140166.4996247,998,0.45707130432128906
1546140202.5603557,1004,0.46794983744621277
1546140210.5046067,1007,0.4627062678337097
1546140245.648972,1016,0.4597090184688568
1546140265.4484692,1019,0.4683890640735626
1546140318.1210806,1027,0.46051645278930664
1546140369.6169152,1039,0.434376060962677
1546140405.48555,1046,0.46353915333747864
1546140484.2298317,1059,0.453494131565094
1546140511.2622359,1065,0.451381117105484
1546140522.4712317,1068,0.4519512355327606
1546140523.7009454,1070,0.4506179392337799
